tipo_execucao,id_config_cpu_gpu,tempo_ms,ocorrencias,dataset,palavra_buscada,num_execucao
cpu-serial,1,269,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,1
cpu-serial,1,110,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,2
cpu-serial,1,92,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,3
cpu-parallel,4,140,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,1
cpu-parallel,4,106,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,2
cpu-parallel,4,78,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,3
gpu,0,250,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,1
gpu,0,49,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,2
gpu,0,31,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,the,3
cpu-serial,1,269,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,1
cpu-serial,1,107,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,2
cpu-serial,1,93,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,3
cpu-parallel,4,166,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,1
cpu-parallel,4,138,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,2
cpu-parallel,4,91,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,3
gpu,0,404,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,1
gpu,0,47,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,2
gpu,0,39,188,/Users/guilhermesilva/Documents/GitHub/parallel-vs-serial-analise-comparativa/./datasets/DonQuixote-388208.txt,The,3
